49
0	0
0.002774	0.024528
0.008291	0.033343
0.016223	0.04228
0.026586	0.051155
0.039352	0.059757
0.054441	0.067867
0.071715	0.075273
0.090983	0.081796
0.112006	0.087311
0.134508	0.091757
0.158194	0.095154
0.182759	0.097602
0.207913	0.099274
0.233928	0.100332
0.260988	0.100802
0.288986	0.100694
0.317813	0.100029
0.347355	0.098831
0.377496	0.097129
0.408117	0.094959
0.439099	0.092357
0.470319	0.089364
0.501656	0.086022
0.532986	0.082375
0.564186	0.078464
0.595134	0.074334
0.625708	0.070026
0.655788	0.065582
0.685256	0.061041
0.713996	0.056441
0.741895	0.05182
0.768843	0.047214
0.794734	0.042658
0.819467	0.038187
0.842944	0.033834
0.865073	0.029633
0.885766	0.025616
0.904944	0.021816
0.922529	0.018264
0.938454	0.014989
0.952656	0.012022
0.965078	0.009389
0.975673	0.007116
0.984399	0.005223
0.991222	0.003731
0.996114	0.002653
0.999057	0.002002
1.000039	0.001785
52
0	0
0.003247	-0.007188
0.008271	-0.013621
0.014939	-0.019374
0.023125	-0.024535
0.032721	-0.029205
0.043638	-0.033484
0.055821	-0.037466
0.069252	-0.041231
0.083957	-0.044848
0.1	-0.048364
0.117481	-0.051806
0.136523	-0.055173
0.157259	-0.05843
0.179817	-0.061492
0.204302	-0.06421
0.230245	-0.066415
0.257258	-0.068079
0.285234	-0.069208
0.314062	-0.069816
0.343628	-0.069923
0.373815	-0.069554
0.404502	-0.068737
0.435568	-0.067505
0.46689	-0.065894
0.498344	-0.063938
0.529805	-0.061677
0.561147	-0.059148
0.592247	-0.056389
0.622982	-0.053435
0.653229	-0.050322
0.682868	-0.047086
0.711783	-0.04376
0.739859	-0.040375
0.766984	-0.036963
0.793051	-0.033555
0.817957	-0.03018
0.841603	-0.026868
0.863896	-0.023648
0.884747	-0.020548
0.904073	-0.017598
0.921799	-0.014826
0.937852	-0.012258
0.952171	-0.009921
0.964698	-0.007839
0.975383	-0.006035
0.984184	-0.004529
0.991066	-0.003339
0.996001	-0.002479
0.99897	-0.001959
0.999961	-0.001785
1	0
